-1.120457+I*0.000000 1.114382+I*0.000000 1.815476+I*0.000000 2.486199+I*0.000000 3.070946+I*0.000000 3.708055+I*0.000000 4.577535+I*0.000000 5.183703+I*0.000000
-1.134183+I*0.000000 1.128074+I*0.000000 1.801776+I*0.000000 2.471588+I*0.000000 3.051278+I*0.000000 3.680942+I*0.000000 4.545542+I*0.000000 5.159577+I*0.000000
-1.147909+I*0.000000 1.141766+I*0.000000 1.788087+I*0.000000 2.457134+I*0.000000 3.032214+I*0.000000 3.654846+I*0.000000 4.514766+I*0.000000 5.136171+I*0.000000
-1.161634+I*0.000000 1.155458+I*0.000000 1.774407+I*0.000000 2.442827+I*0.000000 3.013726+I*0.000000 3.629739+I*0.000000 4.485165+I*0.000000 5.113456+I*0.000000
-1.175359+I*0.000000 1.169151+I*0.000000 1.760739+I*0.000000 2.428648+I*0.000000 2.995793+I*0.000000 3.605586+I*0.000000 4.456701+I*0.000000 5.091404+I*0.000000
-1.189083+I*0.000000 1.182845+I*0.000000 1.747080+I*0.000000 2.414591+I*0.000000 2.978388+I*0.000000 3.582363+I*0.000000 4.429333+I*0.000000 5.069990+I*0.000000
-1.202807+I*0.000000 1.196538+I*0.000000 1.733430+I*0.000000 2.400647+I*0.000000 2.961486+I*0.000000 3.560039+I*0.000000 4.403026+I*0.000000 5.049190+I*0.000000
-1.216531+I*0.000000 1.210230+I*0.000000 1.719571+I*0.000000 2.387020+I*0.000000 2.945011+I*0.000000 3.538722+I*0.000000 4.377656+I*0.000000 5.028999+I*0.000000
-1.230253+I*0.000000 1.223927+I*0.000000 1.706155+I*0.000000 2.373063+I*0.000000 2.929106+I*0.000000 3.517987+I*0.000000 4.353450+I*0.000000 5.009342+I*0.000000
-1.243975+I*0.000000 1.237622+I*0.000000 1.692532+I*0.000000 2.359410+I*0.000000 2.913585+I*0.000000 3.498204+I*0.000000 4.330115+I*0.000000 4.990250+I*0.000000
-1.257697+I*0.000000 1.251317+I*0.000000 1.678917+I*0.000000 2.345842+I*0.000000 2.898484+I*0.000000 3.479217+I*0.000000 4.307708+I*0.000000 4.971685+I*0.000000
-1.271419+I*0.000000 1.265010+I*0.000000 1.665140+I*0.000000 2.332492+I*0.000000 2.883789+I*0.000000 3.461093+I*0.000000 4.286124+I*0.000000 4.953643+I*0.000000
-1.285139+I*0.000000 1.278708+I*0.000000 1.651702+I*0.000000 2.318958+I*0.000000 2.869468+I*0.000000 3.443542+I*0.000000 4.265540+I*0.000000 4.936066+I*0.000000
-1.298859+I*0.000000 1.292405+I*0.000000 1.638128+I*0.000000 2.305614+I*0.000000 2.855519+I*0.000000 3.426780+I*0.000000 4.245748+I*0.000000 4.918970+I*0.000000
-1.312579+I*0.000000 1.306101+I*0.000000 1.624551+I*0.000000 2.292353+I*0.000000 2.841920+I*0.000000 3.410729+I*0.000000 4.226756+I*0.000000 4.902333+I*0.000000
-1.326299+I*0.000000 1.319796+I*0.000000 1.610850+I*0.000000 2.279239+I*0.000000 2.828705+I*0.000000 3.395416+I*0.000000 4.208492+I*0.000000 4.886147+I*0.000000
-1.340018+I*0.000000 1.333495+I*0.000000 1.597417+I*0.000000 2.266047+I*0.000000 2.815722+I*0.000000 3.380641+I*0.000000 4.191100+I*0.000000 4.870366+I*0.000000
-1.353736+I*0.000000 1.347192+I*0.000000 1.583879+I*0.000000 2.252992+I*0.000000 2.803088+I*0.000000 3.366544+I*0.000000 4.174402+I*0.000000 4.855003+I*0.000000
-1.367454+I*0.000000 1.360890+I*0.000000 1.570348+I*0.000000 2.240008+I*0.000000 2.790751+I*0.000000 3.353060+I*0.000000 4.158417+I*0.000000 4.840036+I*0.000000
-1.381173+I*0.000000 1.374584+I*0.000000 1.556721+I*0.000000 2.227128+I*0.000000 2.778774+I*0.000000 3.340203+I*0.000000 4.143072+I*0.000000 4.825462+I*0.000000
-1.394890+I*0.000000 1.388283+I*0.000000 1.543306+I*0.000000 2.214249+I*0.000000 2.766931+I*0.000000 3.327843+I*0.000000 4.128488+I*0.000000 4.811243+I*0.000000
-1.408606+I*0.000000 1.401980+I*0.000000 1.529815+I*0.000000 2.201470+I*0.000000 2.755412+I*0.000000 3.316059+I*0.000000 4.114519+I*0.000000 4.797386+I*0.000000
-1.422323+I*0.000000 1.415676+I*0.000000 1.516333+I*0.000000 2.188763+I*0.000000 2.744150+I*0.000000 3.304804+I*0.000000 4.101177+I*0.000000 4.783876+I*0.000000
-1.436039+I*0.000000 1.429364+I*0.000000 1.502789+I*0.000000 2.176132+I*0.000000 2.733220+I*0.000000 3.294078+I*0.000000 4.088407+I*0.000000 4.770709+I*0.000000
